id,stock_code,stock_name,title,announce_type,publish_date,url,signal,signal_text,keywords,growth_pct,strength
2026-04-03-2639,603992,松霖科技,松霖科技:2026年第一季度业绩预增公告,业绩预告,2026-04-03,https://data.eastmoney.com/notices/detail/603992/AN202604021820985343.html,positive,超预期,业绩预增,,3
2026-04-03-9,002202,金风科技,金风科技:2026年4月3日2025年报业绩路演活动,调研活动,2026-04-03,https://data.eastmoney.com/notices/detail/002202/AN202604031821018114.html,neutral,业绩公告,,,1
2026-04-03-2393,002381,双箭股份,双箭股份:年报信息披露重大差错责任追究制度(2026年4月),管理办法/制度,2026-04-03,https://data.eastmoney.com/notices/detail/002381/AN202604021820986926.html,neutral,业绩公告,,,1
2026-04-03-3136,002073,软控股份,软控股份:审计委员会年报工作规程(2026年4月制订),管理办法/制度,2026-04-03,https://data.eastmoney.com/notices/detail/002073/AN202604021820982300.html,neutral,业绩公告,,,1
2026-04-03-3135,002073,软控股份,软控股份:年报信息披露重大差错责任追究制度(2026年4月修订),管理办法/制度,2026-04-03,https://data.eastmoney.com/notices/detail/002073/AN202604021820982297.html,neutral,业绩公告,,,1
2026-04-03-3069,603958,哈森股份,哈森股份:2025年年度业绩预亏公告的更正公告,业绩预告,2026-04-03,https://data.eastmoney.com/notices/detail/603958/AN202604021820983279.html,neutral,业绩公告,,,1
2026-04-03-2924,003029,吉大正元,吉大正元:关于公司未弥补亏损达到实收股本总额三分之一的公告,其他,2026-04-03,https://data.eastmoney.com/notices/detail/003029/AN202604021820984077.html,negative,低于预期,亏损,,1
2026-04-03-2656,603906,龙蟠科技,龙蟠科技:H股公告-关于2025年年度业绩初步公告及2025年业绩快报公告的进一步公告,其他,2026-04-03,https://data.eastmoney.com/notices/detail/603906/AN202604021820985257.html,neutral,业绩公告,,,1
2026-04-03-2161,000729,燕京啤酒,燕京啤酒:2026年第一季度业绩预告,业绩预告,2026-04-03,https://data.eastmoney.com/notices/detail/000729/AN202604021820987603.html,neutral,业绩公告,,,1
2026-04-03-55,920493,并行科技,并行科技:关于未弥补亏损达实收股本总额三分之一的公告,其他,2026-04-03,https://data.eastmoney.com/notices/detail/920493/AN202604031821017449.html,negative,低于预期,亏损,,1
2026-04-03-2160,000729,燕京啤酒,燕京啤酒:2025年度业绩快报,业绩快报,2026-04-03,https://data.eastmoney.com/notices/detail/000729/AN202604021820987608.html,neutral,业绩公告,,,1
2026-04-03-1692,300097,智云股份,智云股份:关于未弥补亏损达到实收股本总额三分之一的公告,其他,2026-04-03,https://data.eastmoney.com/notices/detail/300097/AN202604021820988928.html,negative,低于预期,亏损,,1
2026-04-03-742,300020,ST银江,ST银江:关于公司未弥补亏损达到实收股本总额三分之一的公告,其他,2026-04-03,https://data.eastmoney.com/notices/detail/300020/AN202604021820991582.html,negative,低于预期,亏损,,1
2026-04-03-635,300093,*ST金刚,*ST金刚:关于未弥补亏损达到实收股本总额三分之一的公告,其他,2026-04-03,https://data.eastmoney.com/notices/detail/300093/AN202604021820995586.html,negative,低于预期,亏损,,1
2026-04-03-574,603083,剑桥科技,剑桥科技:H股公告-2025年报,其他,2026-04-03,https://data.eastmoney.com/notices/detail/603083/AN202604031821011463.html,neutral,业绩公告,,,1
2026-04-03-217,300821,东岳硅材,东岳硅材:2026年第一季度业绩预告,业绩预告,2026-04-03,https://data.eastmoney.com/notices/detail/300821/AN202604031821015619.html,neutral,业绩公告,,,1
2026-04-03-3238,000972,*ST中基,*ST中基:关于公司2025年年报编制和审计工作进展公告,其他,2026-04-03,https://data.eastmoney.com/notices/detail/000972/AN202604021820981578.html,neutral,业绩公告,,,1
